group,alpha_idx,lambda_idx,alpha,lam,seed,final_step_measured,fourier_sparsity,circularity_top_freq,weight_norm_total,embedding_stable_rank,embedding_effective_rank,lm_head_effective_rank,dom_freq_0,dom_freq_1,dom_freq_2,dom_freq_3,dom_freq_4,source_file,first_step,first_fourier_sparsity,first_circularity_top_freq,first_weight_norm_total,first_embedding_stable_rank,first_embedding_effective_rank,first_lm_head_effective_rank,phase,t_train,t_test,final_step,delta_fourier_sparsity,delta_circularity_drop,dominant_freqs,top_canonical_freq,fourier_score,fourier_sparsity_pct_in_group,circularity_good_pct_in_group,fourier_evidence,mechanism_call
B,0,0,0.1,0.01,0,100000,0.4089352488517761,0.4495573341846466,325.6252136230469,1.0214382410049438,16.381908416748047,,12.0,101.0,108.0,5.0,44.0,results/scans/B_p113_phase1.partial.parquet,100,0.6839811205863953,0.2918843924999237,21.79840850830078,9.195902824401855,48.000709533691406,,memorize,1000.0,,100000,-0.27504587173461914,-0.1576729416847229,"12,101,108,5,44",12.0,18.71,0.2857142857142857,0.09523809523809523,none,memorization_or_lookup
B,0,1,0.1,0.031623,0,100000,0.3598579466342926,0.3007142245769501,92.01312255859375,1.1768450736999512,37.35820388793945,,12.0,101.0,80.0,33.0,44.0,results/scans/B_p113_phase1.partial.parquet,100,0.6846022605895996,0.2925451099872589,21.752124786376953,9.172443389892578,47.961883544921875,,memorize,1000.0,,100000,-0.324744313955307,-0.008169114589691162,"12,101,80,33,44",12.0,25.37,0.047619047619047616,0.38095238095238093,weak,memorization_or_lookup
B,0,2,0.1,0.1,0,100000,0.3729526102542877,0.258726567029953,26.146648406982422,8.506936073303223,59.142642974853516,,12.0,101.0,108.0,5.0,33.0,results/scans/B_p113_phase1.partial.parquet,100,0.6848501563072205,0.29136908054351807,21.636703491210938,9.173455238342285,47.944915771484375,,memorize,1000.0,,100000,-0.31189754605293274,0.032642513513565063,"12,101,108,5,33",12.0,29.95,0.09523809523809523,0.6190476190476191,weak,memorization_or_lookup
B,0,3,0.1,0.316228,0,100000,0.507340133190155,0.2835850417613983,25.02522087097168,21.663005828857422,56.43008041381836,,21.0,92.0,78.0,35.0,41.0,results/scans/B_p113_phase1.partial.parquet,100,0.6880415081977844,0.291194885969162,21.230669021606445,9.113577842712402,47.782005310058594,,memorize,1000.0,,100000,-0.1807013750076294,0.007609844207763672,"21,92,78,35,41",21.0,41.46,0.8571428571428571,0.47619047619047616,moderate,memorization_or_lookup
B,0,4,0.1,1.0,0,100000,0.5115401744842529,0.405990868806839,24.333574295043945,15.638321876525879,54.711177825927734,,5.0,108.0,80.0,33.0,39.0,results/scans/B_p113_phase1.partial.parquet,100,0.6977730393409729,0.29229307174682617,20.00449562072754,8.87419319152832,47.23345947265625,,memorize,1000.0,,100000,-0.18623286485671997,-0.11369779706001282,"5,108,80,33,39",5.0,32.35,0.9047619047619048,0.1428571428571429,weak,memorization_or_lookup
B,0,5,0.1,3.162278,0,1000000,0.38029876351356506,0.40190160274505615,29.922508239746094,24.24209213256836,57.69313049316406,,5.0,108.0,74.0,39.0,11.0,results/scans/B_p113_phase1.partial.parquet,100,0.7261123657226562,0.2932177484035492,16.65946388244629,8.18152904510498,45.47331237792969,,fail,,,1000000,-0.3458136022090912,-0.10868385434150696,"5,108,74,39,11",5.0,19.55,0.14285714285714285,0.19047619047619047,none,no_generalization_or_fail
B,1,0,0.2,0.01,0,100000,0.4507124125957489,0.47860321402549744,241.05618286132812,1.0388363599777222,21.573135375976562,,40.0,73.0,72.0,41.0,30.0,results/scans/B_p113_phase1.partial.parquet,100,0.6862626671791077,0.2833128571510315,21.735204696655273,9.113862037658691,46.63915252685547,,memorize,1000.0,,100000,-0.23555025458335876,-0.19529035687446594,"40,73,72,41,30",40.0,20.62,0.5238095238095238,0.0,weak,memorization_or_lookup
B,1,1,0.2,0.031623,0,100000,0.43745240569114685,0.24732695519924164,69.4259262084961,1.325398325920105,43.58244323730469,,41.0,72.0,73.0,40.0,56.0,results/scans/B_p113_phase1.partial.parquet,100,0.6864773035049438,0.2825043499469757,21.70457649230957,9.118107795715332,46.6480712890625,,grok,1000.0,100000.0,100000,-0.249024897813797,0.03517739474773407,"41,72,73,40,56",41.0,37.29,0.47619047619047616,0.6666666666666667,moderate,fourier_like_moderate
B,1,2,0.2,0.1,0,100000,0.4865323305130005,0.18430402874946594,26.4621639251709,9.12927532196045,60.045082092285156,,18.0,95.0,57.0,56.0,30.0,results/scans/B_p113_phase1.partial.parquet,100,0.6878293752670288,0.28347140550613403,21.574878692626953,9.080361366271973,46.556793212890625,,comprehend,1000.0,10000.0,100000,-0.20129704475402832,0.09916737675666809,"18,95,57,56,30",18.0,47.1,0.7619047619047619,0.9047619047619048,moderate,fourier_like_moderate
B,1,3,0.2,0.316228,0,100000,0.4690724015235901,0.18892578780651093,24.257884979248047,27.652080535888672,56.961116790771484,,40.0,73.0,95.0,18.0,38.0,results/scans/B_p113_phase1.partial.parquet,100,0.6922720074653625,0.28538307547569275,21.160621643066406,8.969271659851074,46.34469223022461,,comprehend,1000.0,10000.0,100000,-0.22319960594177246,0.09645728766918182,"40,73,95,18,38",40.0,44.99,0.6190476190476191,0.8095238095238095,moderate,fourier_like_moderate
